DATE,NATURALGASD11
2019-06-01,2537.0
2019-07-01,2551.3
2019-08-01,2617.2
2019-09-01,2626.3
2019-10-01,2610.5
2019-11-01,2688.2
2019-12-01,2531.9
2020-01-01,2526.9
2020-02-01,2521.0
2020-03-01,2506.3
2020-04-01,2577.4
2020-05-01,2519.6
2020-06-01,2534.7
2020-07-01,2619.1
2020-08-01,2567.9
2020-09-01,2559.1
2020-10-01,2612.5
2020-11-01,2344.4
2020-12-01,2549.8
2021-01-01,2556.7
2021-02-01,2653.5
2021-03-01,2467.9
2021-04-01,2580.2
2021-05-01,2576.0
2021-06-01,2653.5
2021-07-01,2556.3
2021-08-01,2592.8
2021-09-01,2547.2
2021-10-01,2551.4
2021-11-01,2582.9
2021-12-01,2410.3
2022-01-01,2758.7
2022-02-01,2617.5
2022-03-01,2606.3
2022-04-01,2693.5
2022-05-01,2727.7
2022-06-01,2737.2
2022-07-01,2731.2
2022-08-01,2720.4
2022-09-01,2723.2
2022-10-01,2669.4
2022-11-01,2665.2
2022-12-01,2712.9
2023-01-01,2495.6
